#Data from 01-07-2019, https://www.CryptoDataDownload.com
#Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1546873260000,2019-01-07 15:01:00,BTCUSD,4025.54,4025.55,4024.35,4025.54,20.41320352
1546873200000,2019-01-07 15:00:00,BTCUSD,4025.55,4025.55,4025.54,4025.54,0.1870248
1546873140000,2019-01-07 14:59:00,BTCUSD,4025.43,4025.55,4025.43,4025.55,0.7417724521
1546873080000,2019-01-07 14:58:00,BTCUSD,4026.02,4026.02,4025.43,4025.43,0.03676087
1546873020000,2019-01-07 14:57:00,BTCUSD,4026.02,4026.02,4026.02,4026.02,0.0
1546872960000,2019-01-07 14:56:00,BTCUSD,4026.02,4026.02,4025.46,4026.02,0.75738396
1546872900000,2019-01-07 14:55:00,BTCUSD,4030.94,4030.94,4025.61,4026.02,7.57764462
1546872840000,2019-01-07 14:54:00,BTCUSD,4035.01,4035.01,4030.94,4030.94,20.46694304
1546872780000,2019-01-07 14:53:00,BTCUSD,4033.27,4035.01,4033.27,4035.01,5.79665696
1546872720000,2019-01-07 14:52:00,BTCUSD,4032.97,4033.27,4032.97,4033.27,0.02244507

