#Data from xx-08-2018, https://www.CryptoDataDownload.com
#Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1535759940000,2018-08-31 23:59:00,BTCUSD,7017.1,7017.1,7017.1,7017.1,0.0
1535759880000,2018-08-31 23:58:00,BTCUSD,7022.01,7022.01,7017.1,7017.1,0.0210228953
1535759820000,2018-08-31 23:57:00,BTCUSD,7022.01,7022.01,7022.01,7022.01,0.0
1535759760000,2018-08-31 23:56:00,BTCUSD,7026.01,7026.01,7022.01,7022.01,0.4004
1535759700000,2018-08-31 23:55:00,BTCUSD,7026.01,7026.01,7026.01,7026.01,0.0
1535759640000,2018-08-31 23:54:00,BTCUSD,7029.67,7029.67,7026.01,7026.01,0.005
1535759580000,2018-08-31 23:53:00,BTCUSD,7029.67,7029.67,7029.67,7029.67,0.0
1535759520000,2018-08-31 23:52:00,BTCUSD,7029.67,7029.67,7029.67,7029.67,0.0
1535759460000,2018-08-31 23:51:00,BTCUSD,7029.67,7029.67,7029.67,7029.67,0.0
1535759400000,2018-08-31 23:50:00,BTCUSD,7029.67,7029.67,7029.67,7029.67,0.0
1535759340000,2018-08-31 23:49:00,BTCUSD,7029.67,7029.67,7029.67,7029.67,0.0
1535759280000,2018-08-31 23:48:00,BTCUSD,7029.67,7029.67,7029.67,7029.67,0.005
1535759220000,2018-08-31 23:47:00,BTCUSD,7022.41,7029.67,7022.41,7029.67,1.1665252755
1535759160000,2018-08-31 23:46:00,BTCUSD,7023.47,7025,7022.41,7022.41,3.9985
1535759100000,2018-08-31 23:45:00,BTCUSD,7010.7,7023.47,7010.7,7023.47,3.01517648
1535759040000,2018-08-31 23:44:00,BTCUSD,7010.7,7010.7,7010.7,7010.7,0.04378307
1535758980000,2018-08-31 23:43:00,BTCUSD,7009.4,7010.7,7009.4,7010.7,0.02754447
1535758920000,2018-08-31 23:42:00,BTCUSD,7006.05,7009.4,7006.05,7009.4,2.36631386
1535758860000,2018-08-31 23:41:00,BTCUSD,7006.05,7006.05,7006.05,7006.05,0.0240244976
1535758800000,2018-08-31 23:40:00,BTCUSD,7006.04,7006.05,7006.04,7006.05,0.70367753
1535758740000,2018-08-31 23:39:00,BTCUSD,7012,7012,7006.04,7006.04,0.0565
